,,,,,,,Text,Contains_Relation
"""We show that whether or not centralization of stocks by retailers increases profits for the manufacturer depends on the level of ‚úmarket search‚ù in the supply chain.""",,,,,,,"""We show that whether or not centralization of stocks by retailers increases profits for the manufacturer depends on the level of ‚úmarket search‚ù in the supply chain.""",1
"""We derive some analytical results that illustrate how different model parameters affect the optimal solution and provide useful insights for managing components in the assemble-to-order environment.""",,,,,,,"""We derive some analytical results that illustrate how different model parameters affect the optimal solution and provide useful insights for managing components in the assemble-to-order environment.""",1
"""Failure and Rescue in an Interbank Network (p. 882)L. C. G. Rogers, L. A. M. VeraartHow do interbank obligations affect the fragility of our financial system?""",,,,,,,"""Failure and Rescue in an Interbank Network (p. 882)L. C. G. Rogers, L. A. M. VeraartHow do interbank obligations affect the fragility of our financial system?""",1
"""In equilibrium, endogenous technology choice can counter a persistent negative productivity shock with an increase in investment.""",,,,,,,"""In equilibrium, endogenous technology choice can counter a persistent negative productivity shock with an increase in investment.""",1
"""We also show that this entry may cause the profit of each incumbent downstream firm to: (i) remain unchanged; (ii) decrease; or (iii) even increase.""",,,,,,,"""We also show that this entry may cause the profit of each incumbent downstream firm to: (i) remain unchanged; (ii) decrease; or (iii) even increase.""",1
"""We find that producers previously associated with Weinstein are, on average, about 35% more likely to work with female writers after the scandal than they were before, relative to nonassociated producers, and the size of this effect increases with the intensity of the association.""",,,"""",,,,"""We find that producers previously associated with Weinstein are, on average, about 35% more likely to work with female writers after the scandal than they were before, relative to nonassociated producers, and the size of this effect increases with the intensity of the association.""""",1
"""Further tests indicate an increase in type I audit opinion errors and no change in audit risk after the ruling.""",,,,,,,"""Further tests indicate an increase in type I audit opinion errors and no change in audit risk after the ruling.""",1
"""If the added vehicle expands the available set of submodels (e.g., adding a four-door among a set that is exclusively two-door), then sales increase.""",,,,,,,"""If the added vehicle expands the available set of submodels (e.g., adding a four-door among a set that is exclusively two-door), then sales increase.""",1
"""On the other hand, the technology impact on Internet service provider profits is nonmonotonic: Their profits may increase or decrease as a result of lower telecommunication costs.""",,,,,,,"""On the other hand, the technology impact on Internet service provider profits is nonmonotonic: Their profits may increase or decrease as a result of lower telecommunication costs.""",1
"""Key to the analysis is joining the presence of a positive network externality with the fact that piracy increases the total number of program users.""",,,,,,,"""Key to the analysis is joining the presence of a positive network externality with the fact that piracy increases the total number of program users.""",1
"""Further, ETF activity is associated with an attenuation of postearnings-announcement drift and an increase in active share lending.""",,,,,,,"""Further, ETF activity is associated with an attenuation of postearnings-announcement drift and an increase in active share lending.""",1
"""Recently, there has been a dramatic increase in technology transfer through licensing as universities attempt to appropriate the returns from faculty research.""",,,,,,,"""Recently, there has been a dramatic increase in technology transfer through licensing as universities attempt to appropriate the returns from faculty research.""",1
"""The ability to estimate cost increases due to forgetting would be useful for economic lot size determinations, bidding on repeat orders, estimating the cost of strikes, and so on.""",,,,,,,"""The ability to estimate cost increases due to forgetting would be useful for economic lot size determinations, bidding on repeat orders, estimating the cost of strikes, and so on.""",1
"""We explore how a country‚ôs information environment affects innovation, an activity characterized by high information asymmetries and potentially severe proprietary costs.""",,,,,,,"""We explore how a country‚ôs information environment affects innovation, an activity characterized by high information asymmetries and potentially severe proprietary costs.""",1
"""Moreover, we discuss four potential mechanisms that could cause the proposed effect.""",,,,,,,"""Moreover, we discuss four potential mechanisms that could cause the proposed effect.""",1
"""Supporting these arguments using the empirical setting of Gujarati immigrant entrepreneurs in the lodging industry, we find that the likelihood of survival of an immigrant entrepreneur‚ôs hotel increases when surrounded by higher counts of branded hotels (representing high-rescource establishments) owned by individuals from their ethnic group but is unaffected by unbranded motels (representing low-resource establishments) owned by members of their ethnic group or by branded hotels owned by individuals from other ethnic groups.""",,,,,,,"""Supporting these arguments using the empirical setting of Gujarati immigrant entrepreneurs in the lodging industry, we find that the likelihood of survival of an immigrant entrepreneur‚ôs hotel increases when surrounded by higher counts of branded hotels (representing high-rescource establishments) owned by individuals from their ethnic group but is unaffected by unbranded motels (representing low-resource establishments) owned by members of their ethnic group or by branded hotels owned by individuals from other ethnic groups.""",1
"""Moreover, as conformance quality increases, the cost of improving communication-focused EQ decreases, indicating complementarity.""",,,,,,,"""Moreover, as conformance quality increases, the cost of improving communication-focused EQ decreases, indicating complementarity.""",1
"""Unlike existing DPS approaches that typically require a joint model for all variables, MORE requires no modeling of nonconfidential variables and thus further increases the robustness of secure databases.""",,,,,,,"""Unlike existing DPS approaches that typically require a joint model for all variables, MORE requires no modeling of nonconfidential variables and thus further increases the robustness of secure databases.""",1
"""By incorporating an endogenous informed trading into an optimal incentive contracting model, we analytically show that, apart from reducing incentives, a greater risk increases the level of information-based trading, which consequently enhances executive incentives and offstes the negative risk, incentive relation.""",,,,,,,"""By incorporating an endogenous informed trading into an optimal incentive contracting model, we analytically show that, apart from reducing incentives, a greater risk increases the level of information-based trading, which consequently enhances executive incentives and offstes the negative risk, incentive relation.""",1
"""This argument is incomplete, however, because it ignores that litigation concerns also affect the incentives of the auditor, which, in turn, affect the firm‚ôs optimal reporting system.""",,,,,,,"""This argument is incomplete, however, because it ignores that litigation concerns also affect the incentives of the auditor, which, in turn, affect the firm‚ôs optimal reporting system.""",1
"""How does the breadth of the product line affect performance?""",,,,,,,"""How does the breadth of the product line affect performance?""",1
"""This paper examines how sentiment affects homebuyers‚ô housing transaction decisions with a focus on auction sales.""",,,,,,,"""This paper examines how sentiment affects homebuyers‚ô housing transaction decisions with a focus on auction sales.""",1
"""For example, when the product cost is low and/or there are sufficient expert (more sophisticated) product users, the two types of information are complements, and the seller's best response is to increase the amount of product attribute information conveyed via its marketing commuications after the reviews become availabe.""",,,,,,,"""For example, when the product cost is low and/or there are sufficient expert (more sophisticated) product users, the two types of information are complements, and the seller's best response is to increase the amount of product attribute information conveyed via its marketing commuications after the reviews become availabe.""",1
"""Managers increase effort, prompting firms to reallocate them to new ventures, where the marginal product of effort is highest.""",,,,,,,"""Managers increase effort, prompting firms to reallocate them to new ventures, where the marginal product of effort is highest.""",1
"""It predicts higher-than-rational usage that attenuates at a rate that increases with sunk costs.""",,,,,,,"""It predicts higher-than-rational usage that attenuates at a rate that increases with sunk costs.""",1
"""We develop a model to analyze how board governance affects firms‚ô financial reporting choices and managers‚ô incentives to manipulate accounting reports.""",,,,,,,"""We develop a model to analyze how board governance affects firms‚ô financial reporting choices and managers‚ô incentives to manipulate accounting reports.""",1
"""Conflict affects human response to choice, in particular, it increases decision difficulty and response unreliability.""",,,,,,,"""Conflict affects human response to choice, in particular, it increases decision difficulty and response unreliability.""",1
"""We show that quality may either increase or decrease as WOM expands.""",,,,,,,"""We show that quality may either increase or decrease as WOM expands.""",1
"""The results show that text message reminders that convey lenders‚ô positive expectations considerably increase the likelihood that borrowers will repay their loans, whereas reminders emphasizing the adverse consequences of failure to repay loans do not have enduring effects.""",,,,,,,"""The results show that text message reminders that convey lenders‚ô positive expectations considerably increase the likelihood that borrowers will repay their loans, whereas reminders emphasizing the adverse consequences of failure to repay loans do not have enduring effects.""",1
"""The difference between the profit-maximizing usage charge and marginal cost increases with buyer risk aversion.""",,,,,,,"""The difference between the profit-maximizing usage charge and marginal cost increases with buyer risk aversion.""",1
"""After the Berlin Wall fell, migration from East Germany accounted for an abrupt increase in the supply of a key resource‚îlabor‚îin the West.""",,,,,,,"""After the Berlin Wall fell, migration from East Germany accounted for an abrupt increase in the supply of a key resource‚îlabor‚îin the West.""",1
"""Competition decreases the expected value of cost information.""",,,,,,,"""Competition decreases the expected value of cost information.""",1
"""Substantial support is found for the central thesis, that achieving each of the four antecedent processes increases the predicted rents from an innovation project.""",,,,,,,"""Substantial support is found for the central thesis, that achieving each of the four antecedent processes increases the predicted rents from an innovation project.""",1
"""For example, when the environment causes a correlation between observed sample sizes (e.g., number of past purchases, projects, observations) and latent underlying parameters (e.g., the likelihood of favorable outcomes), the maximum statistic is a better metric than the mean.""",,,,,,,"""For example, when the environment causes a correlation between observed sample sizes (e.g., number of past purchases, projects, observations) and latent underlying parameters (e.g., the likelihood of favorable outcomes), the maximum statistic is a better metric than the mean.""",1
"""We find that the lift in gross margins was associated with an increase in quantity sold and a decrease in price per unit sold, and that the lift primarily came from low-shelf life product categories.""",,,,,,,"""We find that the lift in gross margins was associated with an increase in quantity sold and a decrease in price per unit sold, and that the lift primarily came from low-shelf life product categories.""",1
"""Surprisingly, subjects are more trusting and trustworthy when the stake size increases.""",,,,,,,"""Surprisingly, subjects are more trusting and trustworthy when the stake size increases.""",1
"""Although we observe that privacy regulation alone can result in a decrease in planning and operational HIEs, we also find that, when coupled with incentives, privacy regulation with requirements for patient consent can actually positively impact the development of HIE efforts.""",,,,,,,"""Although we observe that privacy regulation alone can result in a decrease in planning and operational HIEs, we also find that, when coupled with incentives, privacy regulation with requirements for patient consent can actually positively impact the development of HIE efforts.""",1
"""Using local land supply elasticities as an instrument for local real-estate prices, I estimate that a one-standard-deviation increase in collateral value causes bank debt as a fraction of total debt to increase by six percentage points.""",,,,,,,"""Using local land supply elasticities as an instrument for local real-estate prices, I estimate that a one-standard-deviation increase in collateral value causes bank debt as a fraction of total debt to increase by six percentage points.""",1
"""We find that television advertising for financial services brands increases both the number of related Google searches and searchers' tendency to use branded keywords in place of generic keywords.""",,,,,,,"""We find that television advertising for financial services brands increases both the number of related Google searches and searchers' tendency to use branded keywords in place of generic keywords.""",1
"""The insight for management: Forced distribution evaluation improves effort but may also increase destructive competition between employees.""",,,,,,,"""The insight for management: Forced distribution evaluation improves effort but may also increase destructive competition between employees.""",1
"""Once the market capacity becomes publicly known, each player must decide privately whether to enter the market and receive a payoff, which increases linearly in the difference between the market capacity and the number of entrants, or stay out.""",,,,,,,"""Once the market capacity becomes publicly known, each player must decide privately whether to enter the market and receive a payoff, which increases linearly in the difference between the market capacity and the number of entrants, or stay out.""",1
"""Managerial judgment is frequently required to estimate many of the parameters of decision calculus models and the quality of these judgmental inputs may substantially affect model-based decisions.""",,,,,,,"""Managerial judgment is frequently required to estimate many of the parameters of decision calculus models and the quality of these judgmental inputs may substantially affect model-based decisions.""",1
"""Do hospitals experience safety tipping points as utilization increases, and if so, what are the implications for hospital operations management?""",,,,,,,"""Do hospitals experience safety tipping points as utilization increases, and if so, what are the implications for hospital operations management?""",1
"""The price of a new product strictly increases with its quality and consumers' rational expectation about the time until the next new product will be introduced. ‚ú""",,,,,,,"""The price of a new product strictly increases with its quality and consumers' rational expectation about the time until the next new product will be introduced. ‚ú""",1
"""We also show that traffic and ownership may increase as the ownership cost increases and that a revenue-maximizing platform might prefer a situation in which cars are driven with only a few seats occupied, causing high traffic.""",,,,,,,"""We also show that traffic and ownership may increase as the ownership cost increases and that a revenue-maximizing platform might prefer a situation in which cars are driven with only a few seats occupied, causing high traffic.""",1
"""The problem is complicated by the fact that staffing level in one time period can affect the service levels in subsequent periods.""",,,,,,,"""The problem is complicated by the fact that staffing level in one time period can affect the service levels in subsequent periods.""",1
"""Moreover, this behavior increases when requests and bonuses are allowed.""",,,,,,,"""Moreover, this behavior increases when requests and bonuses are allowed.""",1
"""These additional price changes were mostly price decreases, and they were dispersed in time.""",,,,,,,"""These additional price changes were mostly price decreases, and they were dispersed in time.""",1
"""The decrease subsequently reverses in the following first fiscal quarter.""",,,,,,,"""The decrease subsequently reverses in the following first fiscal quarter.""",1
"""CCS capabilities effectively put an upper bound on the increase in electricity prices resulting from carbon regulations, and we estimate this bound to be near 30% at the retail level for both coal and natural gas plants.""",,,,,,,"""CCS capabilities effectively put an upper bound on the increase in electricity prices resulting from carbon regulations, and we estimate this bound to be near 30% at the retail level for both coal and natural gas plants.""",1
"""We also examine how the proximity to a brand‚ôs city of origin, the assortment share of a store‚ôs private label, the extent of retail competition, and the demographics of the store‚ôs neighborhood affect the purchase share‚ôs sensitivity to the point-of-sale marketing mix, revealing several subtl effects."" ",,,,,,,"""We also examine how the proximity to a brand‚ôs city of origin, the assortment share of a store‚ôs private label, the extent of retail competition, and the demographics of the store‚ôs neighborhood affect the purchase share‚ôs sensitivity to the point-of-sale marketing mix, revealing several subtl effects."" ",1
"""In each version of the model, an important function of the parameters, called the competitive advantage ratio, indicates when it is optimal to either increase or decrease effort allocated in a market in response to changes in various measures of effectiveness.""",,,,,,,"""In each version of the model, an important function of the parameters, called the competitive advantage ratio, indicates when it is optimal to either increase or decrease effort allocated in a market in response to changes in various measures of effectiveness.""",1
"""We find that an average TV ad leads to a 3% increase in EDGAR (Electronic Data Gathering, Analysis, and Retrieval) system queries and an 8% increase in Google searches for financial information within 15 minutes of the airing of that ad.""",,,,,,,"""We find that an average TV ad leads to a 3% increase in EDGAR (Electronic Data Gathering, Analysis, and Retrieval) system queries and an 8% increase in Google searches for financial information within 15 minutes of the airing of that ad.""",1
"""We build a game-theoretic model to examine how better demand forecasting resulting from algorithms, machine learning, and artificial intelligence affects the sustainability of collusion in an industry.""",,,,,,,"""We build a game-theoretic model to examine how better demand forecasting resulting from algorithms, machine learning, and artificial intelligence affects the sustainability of collusion in an industry.""",1
"""This search interval should shrink as congestion intensifies and as the number of performed tests increases if additional conditions hold.""",,,,,,,"""This search interval should shrink as congestion intensifies and as the number of performed tests increases if additional conditions hold.""",1
"""We show that when the cost increases as a linear or convex function of the package size, the firm should make packages of the smallest possible size.""",,,,,,,"""We show that when the cost increases as a linear or convex function of the package size, the firm should make packages of the smallest possible size.""",1
"""Such information asymmetry causes the manufacturer to incur a hidden information cost.""",,,,,,,"""Such information asymmetry causes the manufacturer to incur a hidden information cost.""",1
"""In my opinion the consequences would be a great increase in the value of operational research.""",,,,,,,"""In my opinion the consequences would be a great increase in the value of operational research.""",1
"""The purpose of this article is to formulate and test a decision model to increase the return on a pool of liquid assets through the use of Treasury bill futures contracts.""",,,,,,,"""The purpose of this article is to formulate and test a decision model to increase the return on a pool of liquid assets through the use of Treasury bill futures contracts.""",1
"""Second, reducing the variability of demand by pooling capacity in hospital clusters can greatly increase safety in a hospital system, because it reduces the likelihood that a patient will experience occupancy levels beyond the tipping point.""",,,,,,,"""Second, reducing the variability of demand by pooling capacity in hospital clusters can greatly increase safety in a hospital system, because it reduces the likelihood that a patient will experience occupancy levels beyond the tipping point.""",1
"""In this paper, we take a broader approach to the issue, combining a ‚úproductivity‚ù and an ‚úadoption‚ù approach, while including a search for contextual variables in the firm‚ôs strategy that affects complementarity.""",,,,,,,"""In this paper, we take a broader approach to the issue, combining a ‚úproductivity‚ù and an ‚úadoption‚ù approach, while including a search for contextual variables in the firm‚ôs strategy that affects complementarity.""",1
"""A unit increase in training is linked to a 2.14% increase in an employee's performance.""",,,,,,,"""A unit increase in training is linked to a 2.14% increase in an employee's performance.""",1
"""First, retailers‚ô orders increase as the number of retailers decreases or the supplier‚ôs production capacity shrinks.""",,,,,,,"""First, retailers‚ô orders increase as the number of retailers decreases or the supplier‚ôs production capacity shrinks.""",1
"""Consequently, despite what customers may think about the availability verification, it actually increases their surplus.""",,,,,,,"""Consequently, despite what customers may think about the availability verification, it actually increases their surplus.""",1
"""Yet little empirical research has examined how reference groups affect the product line decisions of firms.""",,,,,,,"""Yet little empirical research has examined how reference groups affect the product line decisions of firms.""",1
"""The choice of performance information system did affect the task processes, the choice of structure, and the involvement in task supporting processes.""",,,,,,,"""The choice of performance information system did affect the task processes, the choice of structure, and the involvement in task supporting processes.""",1
"""A setting in which customer-owned mutual companies converted to publicly listed firms created a plausibly exogenous increase in stock ownership.""",,,,,,,"""A setting in which customer-owned mutual companies converted to publicly listed firms created a plausibly exogenous increase in stock ownership.""",1
"""These changes in behavior are not associated with short-run increases in customer profitability, but customers who adopt online banking have a lower propensity to leave the bank.""",,,,,,,"""These changes in behavior are not associated with short-run increases in customer profitability, but customers who adopt online banking have a lower propensity to leave the bank.""",1
"""Using a large sample of albums from all four major record labels, I find that removing DRM increases digital music sales by 10%, but relaxing sharing restrictions does not impact all albums equally.""",,,,,,,"""Using a large sample of albums from all four major record labels, I find that removing DRM increases digital music sales by 10%, but relaxing sharing restrictions does not impact all albums equally.""",1
"""In addition, subjects overestimate the performance of the merged firm and attribute the decrease in performance to members of the other firm rather than to situational difficulties created by conflicting culture.""",,,,,,,"""In addition, subjects overestimate the performance of the merged firm and attribute the decrease in performance to members of the other firm rather than to situational difficulties created by conflicting culture.""",1
"""This, in turn, implies that even a small advantage in customer loyalty may lead to a large increase in profits and may help explain why some managers place such a high value on earning customer loyalty.""",,,,,,,"""This, in turn, implies that even a small advantage in customer loyalty may lead to a large increase in profits and may help explain why some managers place such a high value on earning customer loyalty.""",1
"""Further, star articles increase these rates significantly more than other top 112 university scientists' articles.""",,,,,,,"""Further, star articles increase these rates significantly more than other top 112 university scientists' articles.""",1
"""More specifically, the error rate of operational risk events decreases first, as workload increases, and then increases.""",,,,,,,"""More specifically, the error rate of operational risk events decreases first, as workload increases, and then increases.""",1
"""As observed by simulation experiments, it turns out that for these robust versions the variability compared to their classical counterparts is considerably reduced with a negligible decrease in average revenue.""",,,,,,,"""As observed by simulation experiments, it turns out that for these robust versions the variability compared to their classical counterparts is considerably reduced with a negligible decrease in average revenue.""",1
"""Discounts increase when the sale is urgent, market conditions are poor, and the seller is financially constrained.""",,,,,,,"""Discounts increase when the sale is urgent, market conditions are poor, and the seller is financially constrained.""",1
"""The question of the empirical application of the indicators of the hierarchical dimensions in turn leads to a consideration of the problems of index construction, analysis of change over time, analysis of causes and consequences of variation in degree of organizational hierarchy, and of comparative research, whether cross-national, cross-organizational, or experimental in character.""",,,,,,,"""The question of the empirical application of the indicators of the hierarchical dimensions in turn leads to a consideration of the problems of index construction, analysis of change over time, analysis of causes and consequences of variation in degree of organizational hierarchy, and of comparative research, whether cross-national, cross-organizational, or experimental in character.""",1
"""Second, as the potential substitutability between products increases due to social influence, the firm may leverage the increased substitutability and enjoy lower cost in production by reducing product assortment before demand realization.""",,,,,,,"""Second, as the potential substitutability between products increases due to social influence, the firm may leverage the increased substitutability and enjoy lower cost in production by reducing product assortment before demand realization.""",1
"""Using unique nursing home IT data from 2006 to 2012, we find that the licensed nurse staffing level decreases by 5.8% in high-end nursing homes but increases by 7.6% in low-end homes after the adoption of automation technology.""",,,,,,,"""Using unique nursing home IT data from 2006 to 2012, we find that the licensed nurse staffing level decreases by 5.8% in high-end nursing homes but increases by 7.6% in low-end homes after the adoption of automation technology.""",1
"""Financial constraints can cause firms to reduce product quality when quality is difficult to observe.""",,,,,,,"""Financial constraints can cause firms to reduce product quality when quality is difficult to observe.""",1
"""The analysis reveals differences in how various parameters affect the cost reduction from pooling and suggests that these differences stem from the manner in which the parameters influence the induced correlation between lead-time demands of the demand streams.""",,,,,,,"""The analysis reveals differences in how various parameters affect the cost reduction from pooling and suggests that these differences stem from the manner in which the parameters influence the induced correlation between lead-time demands of the demand streams.""",1
"""Monitoring does not affect theft, with 10% of participants stealing overall.""",,,,,,,"""Monitoring does not affect theft, with 10% of participants stealing overall.""",1
"""We use counterfactuals to show a nuanced impact of left-digit bias, which can both increase and decrease the payments.""",,,,,,,"""We use counterfactuals to show a nuanced impact of left-digit bias, which can both increase and decrease the payments.""",1
"""Our numerical experiments suggest that extracting failed leads only when forced to because of space limitations is usually a good rule of thumb, but that following the optimal policy, as opposed to the commonly used heuristic policies, can extend an average patient‚ôs expected lifetime by up to 1.2 years and decrease the likelihood of device-related death by up to 94% in some cases.""",,,,,,,"""Our numerical experiments suggest that extracting failed leads only when forced to because of space limitations is usually a good rule of thumb, but that following the optimal policy, as opposed to the commonly used heuristic policies, can extend an average patient‚ôs expected lifetime by up to 1.2 years and decrease the likelihood of device-related death by up to 94% in some cases.""",1
"""Significantly outperforming (underperforming) managers are less (more) likely to be fired in the future and are also more likely to increase relative risk.""",,,,,,,"""Significantly outperforming (underperforming) managers are less (more) likely to be fired in the future and are also more likely to increase relative risk.""",1
"""Third, consumers‚ô ex ante valuation uncertainty may increase or decrease firm profits without BPD, and it weakly increases firm profits with BPD, relative to the inspection good duopoly.""",,,,,,,"""Third, consumers‚ô ex ante valuation uncertainty may increase or decrease firm profits without BPD, and it weakly increases firm profits with BPD, relative to the inspection good duopoly.""",1
"""However, the hypothesis that an increase in perceived environmental uncertainty prompts the principal to award compensation contracts of smaller total expected value and a smaller proportion of performance-contingent pay was rejected.""",,,,,,,"""However, the hypothesis that an increase in perceived environmental uncertainty prompts the principal to award compensation contracts of smaller total expected value and a smaller proportion of performance-contingent pay was rejected.""",1
"""The n most vital nodes in a network are those n nodes whose removal, along with all arcs incident with them, would cause the greatest decrease in maximum flow between a specified node pair.""",,,,,,,"""The n most vital nodes in a network are those n nodes whose removal, along with all arcs incident with them, would cause the greatest decrease in maximum flow between a specified node pair.""",1
"""Our main focus is on how the presence of the multiplicative background risk ·ªπ affects risk-taking behavior for decisions on the choice of xÃÉ. We extend the results of Gollier and Pratt (1996) to characterize conditions on preferences that lead to more cautious behavior.""",,,,,,,"""Our main focus is on how the presence of the multiplicative background risk ·ªπ affects risk-taking behavior for decisions on the choice of xÃÉ. We extend the results of Gollier and Pratt (1996) to characterize conditions on preferences that lead to more cautious behavior.""",1
"""However, in the third product category we find mild evidence of time-varying dynamics, where search decreases over time from already low levels.""",,,,,,,"""However, in the third product category we find mild evidence of time-varying dynamics, where search decreases over time from already low levels.""",1
"""For example, if the bidder and target operate in independent markets, the bidder has flexible production facilities but the target's production facilities are inflexible, then an increase in the bidder's demand can make the target less attractive and lower the value of operational synergy.""",,,,,,,"""For example, if the bidder and target operate in independent markets, the bidder has flexible production facilities but the target's production facilities are inflexible, then an increase in the bidder's demand can make the target less attractive and lower the value of operational synergy.""",1
"""Our analysis suggests that uncertainty regarding reporting weakness affects both the level of the market-to-book ratio and its association with firm size.""",,,,,,,"""Our analysis suggests that uncertainty regarding reporting weakness affects both the level of the market-to-book ratio and its association with firm size.""",1
"""Knowledge Recombination Across Technological Boundaries: Scientists vs. Engineers (p. 837)Marc Gruber, Dietmar Harhoff, Karin HoislHow do individual-level characteristics of inventors affect the breadth of their recombination of different technologies to generate radical innovations?""",,,,,,,"""Knowledge Recombination Across Technological Boundaries: Scientists vs. Engineers (p. 837)Marc Gruber, Dietmar Harhoff, Karin HoislHow do individual-level characteristics of inventors affect the breadth of their recombination of different technologies to generate radical innovations?""",1
"""Debt financing increases incentives to exit, which, although costly for the firm, is socially beneficial.""",,,,,,,"""Debt financing increases incentives to exit, which, although costly for the firm, is socially beneficial.""",1
"""Thus, when food energy intake decreases, the activity pattern of an individual as represented by a queueing system changes: more time is spent at rest; less time is spent in moving activities.""",,,,,,,"""Thus, when food energy intake decreases, the activity pattern of an individual as represented by a queueing system changes: more time is spent at rest; less time is spent in moving activities.""",1
"""This growth was driven primarily by an increase in functional managers rather than general managers, a phenomenon we term ‚úfunctional centralization.‚ù""",,,,,,,"""This growth was driven primarily by an increase in functional managers rather than general managers, a phenomenon we term ‚úfunctional centralization.‚ù""",1
"""An increase of one standard deviation in EPU is associated with a 1.5% increase in forecasted three-month abnormal returns (6.1% annualized).""",,,,,,,"""An increase of one standard deviation in EPU is associated with a 1.5% increase in forecasted three-month abnormal returns (6.1% annualized).""",1
"""We show in this reply that the response by Charnes and Cooper to our paper is aimed at an issue that is only tangential to our analysis and does not affect our conclusions.""",,,,,,,"""We show in this reply that the response by Charnes and Cooper to our paper is aimed at an issue that is only tangential to our analysis and does not affect our conclusions.""",1
"""In particular, the (expected) channel profit loss, compared with that of a centralized system, increases with demand price elasticity and decreases with retailer's cost share, while the profit share extracted by the retailer decreases with price elasticity and increases with retailer's cost share.""",,,,,,,"""In particular, the (expected) channel profit loss, compared with that of a centralized system, increases with demand price elasticity and decreases with retailer's cost share, while the profit share extracted by the retailer decreases with price elasticity and increases with retailer's cost share.""",1
"""We determine the optimal dynamic sampling effort of a firm and examine the factors that affect the sampling decision.""",,,,,,,"""We determine the optimal dynamic sampling effort of a firm and examine the factors that affect the sampling decision.""",1
"""Combinatorial auctions‚îin which bidders can bid on combinations of goods‚îcan increase the economic efficiency of a trade when goods have complementarities.""",,,,,,,"""Combinatorial auctions‚îin which bidders can bid on combinations of goods‚îcan increase the economic efficiency of a trade when goods have complementarities.""",1
"""While perceived expertise did not increase the individual's emphasis of their own unique knowledge, perceived experts were more likely than nonexperts to emphasize shared knowledge and other member's unique knowledge contributions.""",,,,,,,"""While perceived expertise did not increase the individual's emphasis of their own unique knowledge, perceived experts were more likely than nonexperts to emphasize shared knowledge and other member's unique knowledge contributions.""",1
"""First, the presence of speculators increases the firm's expected profits even though the resale market competes with the firm.""",,,,,,,"""First, the presence of speculators increases the firm's expected profits even though the resale market competes with the firm.""",1
"""Finally, we compare both WOM models to analogous models of advertising and demonstrate that the firm‚ôs optimal response to a decrease in advertising costs is quite different from that to an increase in WOM.""",,,,,,,"""Finally, we compare both WOM models to analogous models of advertising and demonstrate that the firm‚ôs optimal response to a decrease in advertising costs is quite different from that to an increase in WOM.""",1
"""Strategic decisions to invest in new equipment are critical not only because of the large initial capital costs incurred but even more importantly because they affect future unit production costs, revenues, and the ability of the firm to perform operations that were not possible earlier.""",,,,,,,"""Strategic decisions to invest in new equipment are critical not only because of the large initial capital costs incurred but even more importantly because they affect future unit production costs, revenues, and the ability of the firm to perform operations that were not possible earlier.""",1
"""Using a panel of firms listed in the North American and UK stock markets, we find that adding board directors from countries with different levels of genetic diversity (either higher or lower) increases firm performance.""",,,,,,,"""Using a panel of firms listed in the North American and UK stock markets, we find that adding board directors from countries with different levels of genetic diversity (either higher or lower) increases firm performance.""",1
"""We show that CDS protection increases the firm‚ôs pledgable income: that is, the maximum amount of debt it can raise.""",,,,,,,"""We show that CDS protection increases the firm‚ôs pledgable income: that is, the maximum amount of debt it can raise.""",1
"""Consumers pay a higher price for each new product because they anticipate using it for longer, which increases manufacturers' profits.""",,,,,,,"""Consumers pay a higher price for each new product because they anticipate using it for longer, which increases manufacturers' profits.""",1
"""Both attendance and wagering are found to increase with an increase in racing quality.""",,,,,,,"""Both attendance and wagering are found to increase with an increase in racing quality.""",1
"""In 2012, the U.S. Food and Drug Administration mandated all manufacturers to report any manufacturing interruption that can potentially cause shortages.""",,,,,,,"""In 2012, the U.S. Food and Drug Administration mandated all manufacturers to report any manufacturing interruption that can potentially cause shortages.""",1
"""Inducing group identity discourages sabotage among peers but increases in-group rivalry.""",,,,,,,"""Inducing group identity discourages sabotage among peers but increases in-group rivalry.""",1
"""Product design decisions substantially affect the cost and revenue drivers.""",,,,,,,"""Product design decisions substantially affect the cost and revenue drivers.""",1
"""Also, computational shortcuts for functions with special properties can be used to increase the efficiency of the model.""",,,,,,,"""Also, computational shortcuts for functions with special properties can be used to increase the efficiency of the model.""",1
"""Two of these processes are used to increase system efficiency.""",,,,,,,"""Two of these processes are used to increase system efficiency.""",1
"""Because information-related illiquidity can arise when uncertainty is high, we focus our analysis on evidence that noninformational liquidity affects price informativeness.""",,,,,,,"""Because information-related illiquidity can arise when uncertainty is high, we focus our analysis on evidence that noninformational liquidity affects price informativeness.""",1
"""The results are robust to controlling for other dimensions of financial policy‚îcash holdings, debt maturity, dividends, preferred stock, convertible debt, and leverage‚îthat also affect real investment.""",,,,,,,"""The results are robust to controlling for other dimensions of financial policy‚îcash holdings, debt maturity, dividends, preferred stock, convertible debt, and leverage‚îthat also affect real investment.""",1
"""We extend these to the case in which some decision variables, such as price, may affect uncertainty and their causal effects are unknown.""",,,,,,,"""We extend these to the case in which some decision variables, such as price, may affect uncertainty and their causal effects are unknown.""",1
"""Low demand helps sustain tacit collusion, because deviation from tacit collusion yields only a limited increase in profit when demand is low.""",,,,,,,"""Low demand helps sustain tacit collusion, because deviation from tacit collusion yields only a limited increase in profit when demand is low.""",1
"""The authors investigate whether the gender composition of teams affects their economic performance.""",,,,,,,"""The authors investigate whether the gender composition of teams affects their economic performance.""",1
